URL,Last Modified,Website Origin,Year,Article Title
https://www.kevinrchant.com/2019/03/18/personal-azure-resource-manager-templates-overview/,2021-06-16,www.kevinrchant.com,2021,personal azure resource manager templates overview
https://www.kevinrchant.com/2019/04/09/t-sql-tuesday-113-what-i-use-databases-for/,2021-06-16,www.kevinrchant.com,2021,t sql tuesday 113 what i use databases for
https://www.kevinrchant.com/2018/12/05/various-cloud-infrastructure-options-to-consider-when-choosing-a-cloud-provider/,2021-06-16,www.kevinrchant.com,2021,various cloud infrastructure options to consider when choosing a cloud provider
https://www.kevinrchant.com/2019/03/05/sqlbits-2019/,2021-06-16,www.kevinrchant.com,2021,sqlbits 2019
https://www.kevinrchant.com/2019/02/12/t-sql-tuesday-111-why-i-do-what-i-do/,2021-06-16,www.kevinrchant.com,2021,t sql tuesday 111 why i do what i do
https://www.kevinrchant.com/2019/05/29/creating-clustered-columnstore-indexes-everywhere/,2021-06-16,www.kevinrchant.com,2021,creating clustered columnstore indexes everywhere
https://www.kevinrchant.com/2018/12/04/building-a-test-lab-to-use-outside-work/,2021-06-16,www.kevinrchant.com,2021,building a test lab to use outside work
https://www.kevinrchant.com/2019/07/10/looking-back-at-sql-server-2008-and-sql-server-2008-r2/,2021-06-16,www.kevinrchant.com,2021,looking back at sql server 2008 and sql server 2008 r2
https://www.kevinrchant.com/2019/08/07/linux-distributions-you-can-install-sql-server-on/,2021-06-16,www.kevinrchant.com,2021,linux distributions you can install sql server on
https://www.kevinrchant.com/2019/09/12/t-sql-tuesday-118-roundup/,2021-06-16,www.kevinrchant.com,2021,t sql tuesday 118 roundup
https://www.kevinrchant.com/2019/01/29/starting-to-use-azure-for-the-data-platform-professional/,2021-06-16,www.kevinrchant.com,2021,starting to use azure for the data platform professional
https://www.kevinrchant.com/2019/06/04/sql-server-2019-business-cases/,2021-06-16,www.kevinrchant.com,2021,sql server 2019 business cases
https://www.kevinrchant.com/2019/09/10/t-sql-tuesday-118-automatic-index-management-levels/,2021-06-16,www.kevinrchant.com,2021,t sql tuesday 118 automatic index management levels
https://www.kevinrchant.com/2019/06/11/t-sql-tuesday-115-dear-20-year-old-self/,2021-06-16,www.kevinrchant.com,2021,t sql tuesday 115 dear 20 year old self
https://www.kevinrchant.com/2018/12/31/alternative-data-platform-new-years-post/,2021-06-16,www.kevinrchant.com,2021,alternative data platform new years post
https://www.kevinrchant.com/2018/11/22/my-first-us-sql-saturday-and-pass-summit-visits/,2021-06-16,www.kevinrchant.com,2021,my first us sql saturday and pass summit visits
https://www.kevinrchant.com/2019/03/20/amount-of-powershell-used-to-work-with-sql-server/,2021-06-16,www.kevinrchant.com,2021,amount of powershell used to work with sql server
https://www.kevinrchant.com/2019/10/04/speaking-at-sql-saturday-torun/,2021-06-16,www.kevinrchant.com,2021,speaking at sql saturday torun
https://www.kevinrchant.com/2019/01/31/applications-for-data-platform-professionals-to-install-locally-for-sql-server-in-azure/,2021-06-16,www.kevinrchant.com,2021,applications for data platform professionals to install locally for sql server in azure
https://www.kevinrchant.com/2018/11/01/a-one-stop-post-for-data-platform-one-stop-posts/,2021-06-16,www.kevinrchant.com,2021,a one stop post for data platform one stop posts
https://www.kevinrchant.com/2018/12/06/sql-server-related-services-available-with-top-four-cloud-providers/,2021-06-16,www.kevinrchant.com,2021,sql server related services available with top four cloud providers
https://www.kevinrchant.com/2019/07/17/powershell-modules-on-every-sql-server/,2021-06-16,www.kevinrchant.com,2021,powershell modules on every sql server
https://www.kevinrchant.com/2018/12/10/azure-stack-for-the-sql-server-professional/,2021-06-16,www.kevinrchant.com,2021,azure stack for the sql server professional
https://www.kevinrchant.com/2019/05/20/interesting-sql-server-2019-findings-testing-sp_estimate_data_compression_savings/,2021-06-16,www.kevinrchant.com,2021,interesting sql server 2019 findings testing sp_estimate_data_compression_savings
https://www.kevinrchant.com/2019/08/21/fantastic-azure-sql-database-managed-instances-update/,2021-06-16,www.kevinrchant.com,2021,fantastic azure sql database managed instances update
https://www.kevinrchant.com/2019/04/29/upgrading-to-latest-sql-server-2019-ctp-on-linux-using-local-repository/,2021-06-16,www.kevinrchant.com,2021,upgrading to latest sql server 2019 ctp on linux using local repository
https://www.kevinrchant.com/2019/07/03/new-certification-and-sql-saturday-cork/,2021-06-16,www.kevinrchant.com,2021,new certification and sql saturday cork
https://www.kevinrchant.com/2019/02/21/speaking-at-sqlbits/,2021-06-16,www.kevinrchant.com,2021,speaking at sqlbits
https://www.kevinrchant.com/2019/05/27/upgrading-to-sql-server-2019-ctp-3/,2021-06-16,www.kevinrchant.com,2021,upgrading to sql server 2019 ctp 3
https://www.kevinrchant.com/2019/07/29/sql-server-2019-ctp-3-2-now-available/,2021-06-16,www.kevinrchant.com,2021,sql server 2019 ctp 3 2 now available
https://www.kevinrchant.com/2018/10/30/zombie-spids-a-true-sql-server-horror-story/,2021-06-16,www.kevinrchant.com,2021,zombie spids a true sql server horror story
